dest	src	nlq	lq	cost
10.63.1.97	10.63.1.1	1.000	1.000	1.000
10.63.11.225	10.63.1.1	1.000	1.000	1.000
10.63.15.33	10.63.1.1	1.000	1.000	1.000
10.63.15.97	10.63.1.1	1.000	1.000	1.000
10.63.30.33	10.63.1.1	1.000	1.000	1.000
10.63.31.33	10.63.1.1	1.000	1.000	1.000
10.63.32.33	10.63.1.1	1.000	1.000	1.000
10.63.34.33	10.63.1.1	1.000	1.000	1.000
10.63.37.129	10.63.1.1	1.000	1.000	1.000
10.63.42.33	10.63.1.1	1.000	1.000	1.000
10.63.43.33	10.63.1.1	1.000	1.000	1.000
10.63.51.33	10.63.1.1	1.000	1.000	1.000
10.63.52.33	10.63.1.1	1.000	1.000	1.000
10.63.53.33	10.63.1.1	1.000	1.000	1.000
10.63.59.33	10.63.1.1	1.000	1.000	1.000
10.63.60.33	10.63.1.1	1.000	1.000	1.000
10.63.63.33	10.63.1.1	1.000	1.000	1.000
10.63.64.33	10.63.1.1	1.000	1.000	1.000
10.63.65.33	10.63.1.1	1.000	1.000	1.000
10.63.68.33	10.63.1.1	1.000	1.000	1.000
10.63.74.33	10.63.1.1	1.000	1.000	1.000
10.63.83.33	10.63.1.1	1.000	1.000	1.000
10.63.89.129	10.63.1.1	1.000	1.000	1.000
10.63.104.33	10.63.1.1	1.000	1.000	1.000
10.63.106.33	10.63.1.1	1.000	1.000	1.000
10.63.111.33	10.63.1.1	1.000	1.000	1.000
10.63.116.33	10.63.1.1	1.000	1.000	1.000
10.63.134.33	10.63.1.1	1.000	1.000	1.000
10.63.156.33	10.63.1.1	1.000	1.000	1.000
10.63.157.33	10.63.1.1	1.000	1.000	1.000
10.63.165.33	10.63.1.1	1.000	1.000	1.000
10.63.166.33	10.63.1.1	1.000	1.000	1.000
10.63.170.33	10.63.1.1	1.000	1.000	1.000
10.63.173.33	10.63.1.1	1.000	1.000	1.000
10.63.178.33	10.63.1.1	1.000	1.000	1.000
10.63.180.33	10.63.1.1	1.000	1.000	1.000
10.63.1.1	10.63.1.97	1.000	1.000	1.000
10.63.33.33	10.63.1.97	0.497	0.271	7.420
10.63.93.33	10.63.1.97	0.356	0.909	3.079
10.63.94.33	10.63.1.97	0.227	0.917	4.791
10.63.123.33	10.63.1.97	0.717	0.780	1.785
10.63.6.97	10.63.2.33	0.862	0.882	1.313
10.63.8.97	10.63.2.33	1.000	0.874	1.143
10.63.10.97	10.63.2.33	1.000	1.000	1.000
10.63.11.97	10.63.2.33	0.753	0.808	1.644
10.63.25.97	10.63.2.33	0.466	0.600	3.571
10.63.29.97	10.63.2.33	0.713	0.792	1.769
10.63.34.97	10.63.2.33	0.905	0.979	1.125
10.63.35.97	10.63.2.33	0.808	1.000	1.237
10.63.99.33	10.63.2.33	1.000	1.000	1.000
10.63.222.33	10.63.2.33	1.000	1.000	1.000
10.63.30.33	10.63.6.33	0.725	0.588	2.343
10.63.2.33	10.63.6.97	0.909	0.929	1.182
10.63.7.97	10.63.6.97	0.148	0.596	11.257
10.63.8.97	10.63.6.97	1.000	1.000	1.000
10.63.10.97	10.63.6.97	0.839	0.415	2.866
10.63.25.97	10.63.6.97	0.948	0.979	1.074
10.63.29.97	10.63.6.97	0.557	0.474	3.784
10.63.34.97	10.63.6.97	0.944	1.000	1.058
10.63.35.97	10.63.6.97	0.831	1.000	1.202
10.63.222.33	10.63.6.97	1.000	1.000	1.000
10.63.32.65	10.63.7.33	1.000	0.956	1.045
10.63.37.129	10.63.7.33	0.968	0.937	1.101
10.63.6.97	10.63.7.97	0.372	0.215	12.444
10.63.14.97	10.63.7.97	1.000	0.917	1.089
10.63.18.97	10.63.7.97	0.454	0.360	6.093
10.63.222.33	10.63.7.97	0.191	0.223	23.281
10.63.2.33	10.63.8.97	0.878	1.000	1.138
10.63.6.97	10.63.8.97	1.000	1.000	1.000
10.63.10.97	10.63.8.97	0.808	0.979	1.262
10.63.11.97	10.63.8.97	0.646	0.964	1.602
10.63.25.97	10.63.8.97	0.450	0.561	3.953
10.63.29.97	10.63.8.97	0.682	0.894	1.639
10.63.34.97	10.63.8.97	0.960	0.944	1.101
10.63.35.97	10.63.8.97	0.662	0.944	1.596
10.63.222.33	10.63.8.97	0.964	0.944	1.097
10.63.2.33	10.63.10.97	1.000	1.000	1.000
10.63.6.97	10.63.10.97	0.415	0.705	3.407
10.63.8.97	10.63.10.97	0.979	0.812	1.256
10.63.11.97	10.63.10.97	0.804	1.000	1.243
10.63.13.97	10.63.10.97	0.729	0.925	1.480
10.63.29.97	10.63.10.97	0.827	0.878	1.375
10.63.34.97	10.63.10.97	0.909	0.960	1.144
10.63.222.33	10.63.10.97	0.929	0.960	1.119
10.63.2.33	10.63.11.97	0.808	0.639	1.937
10.63.8.97	10.63.11.97	0.964	0.615	1.684
10.63.10.97	10.63.11.97	1.000	0.788	1.269
10.63.13.97	10.63.11.97	0.650	0.940	1.632
10.63.29.97	10.63.11.97	0.960	0.960	1.083
10.63.1.1	10.63.11.225	1.000	1.000	1.000
10.63.10.97	10.63.13.97	0.944	0.740	1.427
10.63.11.97	10.63.13.97	0.940	0.650	1.632
10.63.25.97	10.63.13.97	0.462	0.184	11.725
10.63.29.97	10.63.13.97	0.851	0.940	1.248
10.63.7.97	10.63.14.97	0.948	1.000	1.054
10.63.19.97	10.63.14.97	0.713	0.964	1.452
10.63.23.97	10.63.14.97	0.862	0.866	1.337
10.63.25.97	10.63.14.97	1.000	1.000	1.000
10.63.45.33	10.63.14.97	0.466	1.000	2.143
10.63.75.33	10.63.14.97	0.337	0.643	4.610
10.63.246.33	10.63.14.97	1.000	1.000	1.000
10.63.1.1	10.63.15.33	1.000	1.000	1.000
10.63.1.1	10.63.15.97	1.000	1.000	1.000
10.63.23.33	10.63.17.33	0.890	0.948	1.184
10.63.42.33	10.63.17.33	0.851	0.913	1.285
10.63.52.33	10.63.17.33	0.713	0.948	1.476
10.63.73.33	10.63.17.33	1.000	1.000	1.000
10.63.164.33	10.63.17.33	0.772	0.913	1.416
10.63.168.33	10.63.17.33	0.847	1.000	1.180
10.63.7.97	10.63.18.97	0.294	0.545	6.237
10.63.23.97	10.63.18.97	0.650	0.639	2.402
10.63.32.33	10.63.19.33	1.000	0.897	1.113
10.63.76.33	10.63.19.33	0.650	0.615	2.494
10.63.89.129	10.63.19.33	0.956	0.870	1.200
10.63.194.1	10.63.19.33	0.956	0.769	1.359
10.63.14.97	10.63.19.97	0.964	0.717	1.444
10.63.20.97	10.63.19.97	0.604	0.772	2.143
10.63.21.97	10.63.19.97	0.317	0.917	3.431
10.63.22.97	10.63.19.97	0.890	0.979	1.146
10.63.23.97	10.63.19.97	0.435	0.156	14.645
10.63.156.33	10.63.19.97	0.576	0.701	2.471
10.63.175.33	10.63.20.33	1.000	0.897	1.113
10.63.19.97	10.63.20.97	0.772	0.627	2.063
10.63.21.97	10.63.20.97	0.753	0.929	1.429
10.63.22.97	10.63.20.97	0.944	0.894	1.183
10.63.28.33	10.63.21.33	0.874	1.000	1.143
10.63.35.33	10.63.21.33	0.874	0.905	1.262
10.63.19.97	10.63.21.97	0.933	0.294	3.643
10.63.20.97	10.63.21.97	0.929	0.761	1.414
10.63.22.97	10.63.21.97	1.000	1.000	1.000
10.63.31.33	10.63.22.1	1.000	0.979	1.020
10.63.19.97	10.63.22.97	0.979	0.819	1.244
10.63.20.97	10.63.22.97	0.894	0.894	1.250
10.63.21.97	10.63.22.97	1.000	1.000	1.000
10.63.17.33	10.63.23.33	0.948	0.890	1.184
10.63.52.33	10.63.23.33	0.847	0.952	1.238
